wiki_content,wiki_title
"Dhigurah as a place name may refer to:
",Dhigurah
"The Park Hotel is a pub, restaurant and hotel at 19 Park Road, Teddington, London TW11.
","Park Hotel, Teddington"
"An earlier building on the site was known as The Greyhound in 1729, and briefly the Guilford Arms in 1795. It was rebuilt in 1863, and became the Clarence Arms Inn, and later the Clarence Hotel.[1][2]","Park Hotel, Teddington"
"It is a Grade II listed building, built in the mid-19th century.[3]","Park Hotel, Teddington"
"Coordinates: 51°25′31″N 0°20′04″W﻿ / ﻿51.425311°N 0.334315°W﻿ / 51.425311; -0.334315
","Park Hotel, Teddington"
,"Park Hotel, Teddington"
"
",Hestimodema
"Hestimodema is a genus of spiders in the family Miturgidae. It was first described in 1909 by Simon. As of 2016[update], it contains 2 species from western Australia.[1]",Hestimodema
,Hestimodema
"Abdelkader Lagtaâ  (born in 1948) is a Moroccan film director, known for his work in Morocco and French documentaries.
",Abdelkader Lagtaâ
"Born in 1948 in Casablanca, Abdelkader Lagtaâ graduated from The National Film School in Lodz in Poland.[1] He directed his first short documentary film, ""Rabi et la peinture abstraite"" in 1984, followed by ""Chaïbia"" in 1984, and ""Kacimi ou le dévoilement"" in 1985. He directed his first feature film, ""Un amour à Casablanca"" in 1991, for which he was also the scriptwriter, editor and producer. When the film was released in Morocco the following year it was a great success[2] and was selected to compete in many festivals. In 1995 he directed ""Happy end"", a short film which was part of the feature film ""Cinq films pour cent ans"" in commemoration of the centenary of the cinema. In 1998, he finished two feature films at the same time as director, scriptwriter and co-producer: ""La Porte close"" (started in 1993) and ""Les Casablancais"".
",Abdelkader Lagtaâ
"Sinpung Station is a station on Seoul Subway Line 7. It will also most likely become a station on the Sin Ansan Line in the future.
",Sinpung station
"This is a list of tambon (sub-districts) in Thailand, beginning with the letters N and O. This information is liable to change due to border changes or re-allocation of Tambons. Missing Tambon numbers show where the number is either not used or the Tambon has been transferred to a different Amphoe.
",List of tambon in Thailand (N–O)
"Raymond Joseph Lohier Jr. (born December 1, 1965) is a Canadian-born American lawyer and jurist who serves as a United States Circuit Judge of the United States Court of Appeals for the Second Circuit. Formerly, he was an Assistant United States Attorney for the Southern District of New York and a Senior Trial Attorney in the United States Department of Justice Civil Rights Division. He was the chief of the securities and commodities fraud task force in the criminal division of the U.S. Attorney's office. He was recommended by New York Senator Charles Schumer for the nomination to the seat on the United States Court of Appeals for the Second Circuit that was vacated by Sonia Sotomayor when she was elevated to the Supreme Court of the United States. Lohier is the first Haitian-American to serve as an Article III Federal Judge and to be confirmed (unanimously) by the United States Senate as a Judge for the Second Circuit in New York.[1]",Raymond Lohier
"Lohier Jr. was born in Montreal, Quebec, of Haitian heritage.[2] He graduated from Friends' Central School in Philadelphia in 1984.[3]He went on to earn an Bachelor of Arts degree, graduating cum laude from Harvard College, followed by a Juris Doctor from the New York University School of Law,[2] where he served as Editor in Chief of the NYU Annual Survey of American Law. He worked as a law clerk for Judge Robert P. Patterson Jr. of the United States District Court for the Southern District of New York.[2][4]",Raymond Lohier
"Early in his career, Lohier worked as an associate in the law firm Cleary Gottlieb Steen & Hamilton. From 1997 to 2000, Lohier served as a Senior Trial Attorney with the United States Department of Justice Civil Rights Division, where he worked under Bill Lann Lee and spearheaded employment discrimination-related litigation and worked on other civil rights matters of importance to the federal government.[5] He became an Assistant United States Attorney in 2000, and later became chief of the narcotics unit. He later became chief of the Securities and Commodities Fraud Task Force.[2][4]",Raymond Lohier
Lohier may be most known in his career at the U.S. Attorney's office for having helped to oversee the investigation into the Madoff investment scandal and worked as a prosecutor on the Marc Dreier case.[6],Raymond Lohier
